ipa,pos,translation,grammar,derivation,notes
klimunas,n,grand-maternité,nom,klimun + -as (abstrait),enrichissement dérivationnel (contrainte 7)
klirmaxas,n,"américanité, caractère américain",nom,klirmax + -as (abstrait),enrichissement dérivationnel (contrainte 7)
stirumil,n,"cinéma, salle de projection",nom,stirum + -il (instrumental),enrichissement dérivationnel (contrainte 7)
klamunas,n,"maladie, condition de patient",nom,klamun + -as (abstrait),enrichissement dérivationnel (contrainte 7)
stirpalas,n,"mentalité, domaine de l'esprit",nom,stirpal + -as (abstrait),enrichissement dérivationnel (contrainte 7)
priltumar,n,"celui qui avoue, confesseur",nom,priltum + -ar (agentif),enrichissement dérivationnel (contrainte 7)
priltumut,n,"confession, aveu",nom,priltum + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
spiltakar,n,"celui qui compatit, compatissant",nom,spiltak + -ar (agentif),enrichissement dérivationnel (contrainte 7)
spiltakut,n,"compassion, plainte",nom,spiltak + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
klirsanar,n,"commerçant, vendeur",nom,klirsan + -ar (agentif),enrichissement dérivationnel (contrainte 7)
klirsanil,n,"boutique, magasin (lieu)",nom,klirsan + -il (instrumental),enrichissement dérivationnel (contrainte 7)
stirpanar,n,"perfectionniste, celui qui parfait",nom,stirpan + -ar (agentif),enrichissement dérivationnel (contrainte 7)
stirpanut,n,"perfection, état perfectionnné",nom,stirpan + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
klirtalil,n,"récipient à lait, pot à lait",nom,klirtal + -il (instrumental),enrichissement dérivationnel (contrainte 7)
stimunar,n,"chauffeur, conducteur de camion",nom,stimun + -ar (agentif),enrichissement dérivationnel (contrainte 7)
stimunil,n,"garage, lieu de stationnement",nom,stimun + -il (instrumental),enrichissement dérivationnel (contrainte 7)
kʼalturkil,n,lieu d'absence de rendez-vous,nom,kʼalturk + -il (instrumental),enrichissement dérivationnel (contrainte 7)
paltirar,n,grand-père (celui qui est aîné),nom,paltir + -ar (agentif),enrichissement dérivationnel (contrainte 7)
paltiras,n,"grand-paternité, statut d'aîné",nom,paltir + -as (abstrait),enrichissement dérivationnel (contrainte 7)
maltirar,n,grand-mère (celle qui est aînée),nom,maltir + -ar (agentif),enrichissement dérivationnel (contrainte 7)
maltiras,n,"grand-maternité, statut d'aînée",nom,maltir + -as (abstrait),enrichissement dérivationnel (contrainte 7)
krumpinar,n,fabricant de bombes,nom,krumpin + -ar (agentif),enrichissement dérivationnel (contrainte 7)
krumpinil,n,lieu de fabrication de bombes,nom,krumpin + -il (instrumental),enrichissement dérivationnel (contrainte 7)
xilpuktil,n,"lieu de toilette, salle de bain",nom,xilpukt + -il (instrumental),enrichissement dérivationnel (contrainte 7)
rilmaksar,n,celui qui excuse,nom,rilmaks + -ar (agentif),enrichissement dérivationnel (contrainte 7)
prulxanas,n,"royauté, condition de reine",nom,prulxan + -as (abstrait),enrichissement dérivationnel (contrainte 7)
klirpunxar,n,celui qui repart,nom,klirpunx + -ar (agentif),enrichissement dérivationnel (contrainte 7)
prultanar,n,livreur,nom,prultan + -ar (agentif),enrichissement dérivationnel (contrainte 7)
prultanut,n,livraison (ce qui est livré),nom,prultan + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
prulaxar,n,pâtissier,nom,prulax + -ar (agentif),enrichissement dérivationnel (contrainte 7)
spirunar,n,celui qui félicite,nom,spirun + -ar (agentif),enrichissement dérivationnel (contrainte 7)
spiraxar,n,celui qui fait des miracles,nom,spirax + -ar (agentif),enrichissement dérivationnel (contrainte 7)
stirnalar,n,"celui qui convainc, persuaseur",nom,stirnal + -ar (agentif),enrichissement dérivationnel (contrainte 7)
stirnalut,n,"conviction obtenue, persuasion",nom,stirnal + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
praltukar,n,"celui qui traverse, passeur",nom,praltuk + -ar (agentif),enrichissement dérivationnel (contrainte 7)
praltukil,n,"lieu de passage, pont",nom,praltuk + -il (instrumental),enrichissement dérivationnel (contrainte 7)
klimusar,n,celui qui pardonne,nom,klimus + -ar (agentif),enrichissement dérivationnel (contrainte 7)
klimusut,n,pardon accordé,nom,klimus + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
klimrunar,n,"celui qui joue, acteur",nom,klimrun + -ar (agentif),enrichissement dérivationnel (contrainte 7)
klimrunil,n,"lieu de spectacle, théâtre",nom,klimrun + -il (instrumental),enrichissement dérivationnel (contrainte 7)
prulsumar,n,celui qui sous-titre,nom,prulsum + -ar (agentif),enrichissement dérivationnel (contrainte 7)
kirtapar,n,celui qui donne rendez-vous,nom,kirtap + -ar (agentif),enrichissement dérivationnel (contrainte 7)
skurtilar,n,"celui qui résout, solutionneur",nom,skurtil + -ar (agentif),enrichissement dérivationnel (contrainte 7)
skurtilas,n,domaine de la résolution,nom,skurtil + -as (abstrait),enrichissement dérivationnel (contrainte 7)
triskular,n,celui qui refait,nom,triskul + -ar (agentif),enrichissement dérivationnel (contrainte 7)
triskulut,n,chose refaite,nom,triskul + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
kriltaxar,n,"celui qui est intelligent, sage",nom,kriltax + -ar (agentif),enrichissement dérivationnel (contrainte 7)
kriltaxas,n,"sagesse, intelligence",nom,kriltax + -as (abstrait),enrichissement dérivationnel (contrainte 7)
stulmarkar,n,celui qui éteint,nom,stulmark + -ar (agentif),enrichissement dérivationnel (contrainte 7)
stulmarkil,n,"interrupteur, dispositif d'extinction",nom,stulmark + -il (instrumental),enrichissement dérivationnel (contrainte 7)
xalmarkar,n,celui qui fabrique des récipients,nom,xalmark + -ar (agentif),enrichissement dérivationnel (contrainte 7)
pripunkar,n,celui qui bloque,nom,pripunk + -ar (agentif),enrichissement dérivationnel (contrainte 7)
pripunkut,n,"blocage, obstruction",nom,pripunk + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
xilpurtas,n,"état de malchance, infortune",nom,xilpurt + -as (abstrait),enrichissement dérivationnel (contrainte 7)
krantaxas,n,"sacralité, caractère sacré",nom,krantax + -as (abstrait),enrichissement dérivationnel (contrainte 7)
stimarkar,n,celui qui atteint le sommet,nom,stimark + -ar (agentif),enrichissement dérivationnel (contrainte 7)
klirtunas,n,"caractère distinctif, différenciation",nom,klirtun + -as (abstrait),enrichissement dérivationnel (contrainte 7)
xirpunkar,n,celui qui déteste,nom,xirpunk + -ar (agentif),enrichissement dérivationnel (contrainte 7)
xirpunkut,n,"haine, détestation",nom,xirpunk + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
prikmalar,n,celui qui attire,nom,prikmal + -ar (agentif),enrichissement dérivationnel (contrainte 7)
prikmalut,n,chose attirée,nom,prikmal + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
stumarpar,n,celui qui sous-titre,nom,stumarp + -ar (agentif),enrichissement dérivationnel (contrainte 7)
stulmikas,n,"charme, qualité d'être agréable",nom,stulmik + -as (abstrait),enrichissement dérivationnel (contrainte 7)
klirmular,n,celui qui excelle,nom,klirmul + -ar (agentif),enrichissement dérivationnel (contrainte 7)
klirmulas,n,"excellence, qualité formidable",nom,klirmul + -as (abstrait),enrichissement dérivationnel (contrainte 7)
tarkumar,n,celui qui donne rendez-vous,nom,tarkum + -ar (agentif),enrichissement dérivationnel (contrainte 7)
kirmanar,n,grand-mère (agent),nom,kirman + -ar (agentif),enrichissement dérivationnel (contrainte 7)
mirpulas,n,"détail, qualité détaillée",nom,mirpul + -as (abstrait),enrichissement dérivationnel (contrainte 7)
stulmakar,n,celui qui sous-titre,nom,stulmak + -ar (agentif),enrichissement dérivationnel (contrainte 7)
stulmakil,n,outil de sous-titrage,nom,stulmak + -il (instrumental),enrichissement dérivationnel (contrainte 7)
nilpakas,n,qualité de genou,nom,nilpak + -as (abstrait),enrichissement dérivationnel (contrainte 7)
siprunas,n,"supériorité, amélioration",nom,siprun + -as (abstrait),enrichissement dérivationnel (contrainte 7)
kalrikil,n,"zone, lieu délimité",nom,kalrik + -il (instrumental),enrichissement dérivationnel (contrainte 7)
stalmukas,n,"réalité, état de réalité",nom,stalmuk + -as (abstrait),enrichissement dérivationnel (contrainte 7)
spamulas,n,"superbe qualité, splendeur",nom,spamul + -as (abstrait),enrichissement dérivationnel (contrainte 7)
xirnakar,n,celui qui est méchant,nom,xirnak + -ar (agentif),enrichissement dérivationnel (contrainte 7)
xirnakas,n,méchanceté,nom,xirnak + -as (abstrait),enrichissement dérivationnel (contrainte 7)
patrikas,n,"tonalité, qualité tonale",nom,patrik + -as (abstrait),enrichissement dérivationnel (contrainte 7)
spirtulas,n,"destinée, fatalité",nom,spirtul + -as (abstrait),enrichissement dérivationnel (contrainte 7)
stimpakas,n,"urgence, caractère urgent",nom,stimpak + -as (abstrait),enrichissement dérivationnel (contrainte 7)
pramuxar,n,celui qui donne rendez-vous,nom,pramux + -ar (agentif),enrichissement dérivationnel (contrainte 7)
stirapar,n,grand-mère (agent),nom,stirap + -ar (agentif),enrichissement dérivationnel (contrainte 7)
klimtaxil,n,outil de sous-titrage,nom,klimtax + -il (instrumental),enrichissement dérivationnel (contrainte 7)
klimranar,n,celui qui accroche,nom,klimran + -ar (agentif),enrichissement dérivationnel (contrainte 7)
klimranil,n,outil d'accrochage,nom,klimran + -il (instrumental),enrichissement dérivationnel (contrainte 7)
klimarkas,n,"anglicité, caractère anglais",nom,klimark + -as (abstrait),enrichissement dérivationnel (contrainte 7)
stirpixil,n,"valise, récipient de transport",nom,stirpix + -il (instrumental),enrichissement dérivationnel (contrainte 7)
praxalar,n,celui qui donne rendez-vous,nom,praxal + -ar (agentif),enrichissement dérivationnel (contrainte 7)
stimakar,n,grand-père (agent),nom,stimak + -ar (agentif),enrichissement dérivationnel (contrainte 7)
mirtalar,n,celui qui sourit agréablement,nom,mirtal + -ar (agentif),enrichissement dérivationnel (contrainte 7)
mirtalut,n,"sourire, grimace agréable",nom,mirtal + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
pransumil,n,"usine, lieu de production",nom,pransum + -il (instrumental),enrichissement dérivationnel (contrainte 7)
mirpakar,n,"fiancé, celui promis en mariage",nom,mirpak + -ar (agentif),enrichissement dérivationnel (contrainte 7)
prankinar,n,celui qui porte le costume,nom,prankin + -ar (agentif),enrichissement dérivationnel (contrainte 7)
prankinut,n,costume confectionné,nom,prankin + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
krampinar,n,habitant de la campagne,nom,krampin + -ar (agentif),enrichissement dérivationnel (contrainte 7)
krampinil,n,lieu de campagne,nom,krampin + -il (instrumental),enrichissement dérivationnel (contrainte 7)
klimanar,n,chauffeur de bus,nom,kliman + -ar (agentif),enrichissement dérivationnel (contrainte 7)
klimanil,n,station de bus,nom,kliman + -il (instrumental),enrichissement dérivationnel (contrainte 7)
pranipas,n,notion de lendemain,nom,pranip + -as (abstrait),enrichissement dérivationnel (contrainte 7)
xirminar,n,celui en crise,nom,xirmin + -ar (agentif),enrichissement dérivationnel (contrainte 7)
xirminus,v.stat,être en crise,verbe statif,xirmin + -us (désidératif),enrichissement dérivationnel (contrainte 7)
paltuxar,n,celui qui donne rendez-vous,nom,paltux + -ar (agentif),enrichissement dérivationnel (contrainte 7)
haltunikar,n,sous-titreur,nom,haltunik + -ar (agentif),enrichissement dérivationnel (contrainte 7)
xirnalas,n,sexualité,nom,xirnal + -as (abstrait),enrichissement dérivationnel (contrainte 7)
klirtupil,n,chose-à-poches,nom,klirtup + -il (instrumental),enrichissement dérivationnel (contrainte 7)
kartusas,n,état de grand-père,nom,kartus + -as (abstrait),enrichissement dérivationnel (contrainte 7)
kaltusas,n,état de grand-mère,nom,kaltus + -as (abstrait),enrichissement dérivationnel (contrainte 7)
haslimas,n,honnêteté,nom,haslim + -as (abstrait),enrichissement dérivationnel (contrainte 7)
pramtuksar,n,celui qui recule,nom,pramtuks + -ar (agentif),enrichissement dérivationnel (contrainte 7)
klimustas,n,nécessité,nom,klimust + -as (abstrait),enrichissement dérivationnel (contrainte 7)
stirlapil,n,chose-à-piste,nom,stirlap + -il (instrumental),enrichissement dérivationnel (contrainte 7)
klimpuras,n,compréhension,nom,klimpur + -as (abstrait),enrichissement dérivationnel (contrainte 7)
klimnaxas,n,nordité,nom,klimnax + -as (abstrait),enrichissement dérivationnel (contrainte 7)
pramtulil,n,lieu de restaurant,nom,pramtul + -il (instrumental),enrichissement dérivationnel (contrainte 7)
klimpaxar,n,gardien du trésor,nom,klimpax + -ar (agentif),enrichissement dérivationnel (contrainte 7)
stirnuxas,n,nudité,nom,stirnux + -as (abstrait),enrichissement dérivationnel (contrainte 7)
klimtulus,v.stat,avoir besoin de concerner,verbe statif,klimtul + -us (désidératif),enrichissement dérivationnel (contrainte 7)
primalpas,n,énormité,nom,primalp + -as (abstrait),enrichissement dérivationnel (contrainte 7)
sutilar,n,celui qui donne rendez-vous,nom,sutil + -ar (agentif),enrichissement dérivationnel (contrainte 7)
miltunas,n,état de grand-mère,nom,miltun + -as (abstrait),enrichissement dérivationnel (contrainte 7)
tilpunar,n,sous-titreur,nom,tilpun + -ar (agentif),enrichissement dérivationnel (contrainte 7)
mixular,n,"codeur, celui qui code",nom,mixul + -ar (agentif),enrichissement dérivationnel (contrainte 7)
mixulil,n,"clé de code, instrument de codage",nom,mixul + -il (instrumental),enrichissement dérivationnel (contrainte 7)
mirlunar,n,"celui qui a l'intention, décideur",nom,mirlun + -ar (agentif),enrichissement dérivationnel (contrainte 7)
mirlunas,n,"intentionnalité, domaine de l'intention",nom,mirlun + -as (abstrait),enrichissement dérivationnel (contrainte 7)
kirtalas,n,"nervosité, état nerveux",nom,kirtal + -as (abstrait),enrichissement dérivationnel (contrainte 7)
kʼakirtal,v.stat,"être calme, sans nervosité",verbe statif,kirtal + kʼa- (privatif),enrichissement dérivationnel (contrainte 7)
naltukas,n,"connerie, caractère de connard",nom,naltuk + -as (abstrait),enrichissement dérivationnel (contrainte 7)
hilnakas,n,"moindreté, qualité de ce qui est moindre",nom,hilnak + -as (abstrait),enrichissement dérivationnel (contrainte 7)
litmakar,n,"Allemand, locuteur de l'allemand",nom,litmak + -ar (agentif),enrichissement dérivationnel (contrainte 7)
sirmalar,n,"couvreur, celui qui fait les toits",nom,sirmal + -ar (agentif),enrichissement dérivationnel (contrainte 7)
sirmalil,n,"tuile, matériau de toiture",nom,sirmal + -il (instrumental),enrichissement dérivationnel (contrainte 7)
priltunar,n,"représentant, celui qui représente",nom,priltun + -ar (agentif),enrichissement dérivationnel (contrainte 7)
priltunut,n,"représentation, ce qui est représenté",nom,priltun + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
hirpunar,n,"bénisseur, celui qui bénit",nom,hirpun + -ar (agentif),enrichissement dérivationnel (contrainte 7)
hirpunut,n,"bénédiction, ce qui est béni",nom,hirpun + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
kirpular,n,"tireur, celui qui utilise un fusil",nom,kirpul + -ar (agentif),enrichissement dérivationnel (contrainte 7)
nilmakar,n,"femme enceinte, celle en état de grossesse",nom,nilmak + -ar (agentif),enrichissement dérivationnel (contrainte 7)
hirnakas,n,"spectralité, nature de fantôme",nom,hirnak + -as (abstrait),enrichissement dérivationnel (contrainte 7)
stilpunar,n,"endormeur, celui qui endort",nom,stilpun + -ar (agentif),enrichissement dérivationnel (contrainte 7)
stilpunil,n,"soporifique, agent d'endormissement",nom,stilpun + -il (instrumental),enrichissement dérivationnel (contrainte 7)
tirmakar,n,"loueur, celui qui loue",nom,tirmak + -ar (agentif),enrichissement dérivationnel (contrainte 7)
tirmakut,n,"location, ce qui est loué",nom,tirmak + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
sirpunas,n,"hasard, domaine du fortuit",nom,sirpun + -as (abstrait),enrichissement dérivationnel (contrainte 7)
kilmupar,n,"vacher, celui qui soigne les vaches",nom,kilmup + -ar (agentif),enrichissement dérivationnel (contrainte 7)
pritakar,n,"rigolo, celui qui rigole",nom,pritak + -ar (agentif),enrichissement dérivationnel (contrainte 7)
pritakas,n,"rigologie, art de rigoler",nom,pritak + -as (abstrait),enrichissement dérivationnel (contrainte 7)
sunkil,n,"lit, lieu de sommeil",nom,sunk + -il (instrumental),enrichissement dérivationnel (contrainte 7)
sunkus,v.stat,"être somnolent, avoir besoin de dormir",verbe statif,sunk + -us (désidératif),enrichissement dérivationnel (contrainte 7)
silpar,n,"chat, celui qui a les qualités du chat",nom,silp + -ar (agentif),enrichissement dérivationnel (contrainte 7)
kramar,n,"carrier, celui qui extrait la pierre",nom,kram + -ar (agentif),enrichissement dérivationnel (contrainte 7)
kramil,n,"outil de taille, instrument de travail de la pierre",nom,kram + -il (instrumental),enrichissement dérivationnel (contrainte 7)
parnar,n,"incarné, celui qui a un corps",nom,parn + -ar (agentif),enrichissement dérivationnel (contrainte 7)
tranar,n,"imbibeur, celui qui trempe",nom,tran + -ar (agentif),enrichissement dérivationnel (contrainte 7)
tranil,n,"bain, lieu d'imbibition",nom,tran + -il (instrumental),enrichissement dérivationnel (contrainte 7)
hurnil,n,"hauteur, élévation, altitude",nom,hurn + -il (instrumental),enrichissement dérivationnel (contrainte 7)
harkar,n,celui qui s'emporte,nom,hark + -ar (agentif),enrichissement dérivationnel (contrainte 7)
hirmas,n,"culpabilité, remords",nom,hirm + -as (abstrait),enrichissement dérivationnel (contrainte 7)
hirmut,n,acte répréhensible,nom,hirm + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
halmut,n,sensation de chaleur,nom,halm + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
larsar,n,celui qui sort,nom,lars + -ar (agentif),enrichissement dérivationnel (contrainte 7)
larsil,n,"sortie, issue",nom,lars + -il (instrumental),enrichissement dérivationnel (contrainte 7)
hilmil,n,"entrée, accès",nom,hilm + -il (instrumental),enrichissement dérivationnel (contrainte 7)
inkil,n,"entrée, passage",nom,ink + -il (instrumental),enrichissement dérivationnel (contrainte 7)
miltar,n,celui qui paie,nom,milt + -ar (agentif),enrichissement dérivationnel (contrainte 7)
miltil,n,moyen de paiement,nom,milt + -il (instrumental),enrichissement dérivationnel (contrainte 7)
stulakil,n,"aide, secours",nom,stulak + -il (instrumental),enrichissement dérivationnel (contrainte 7)
klatakil,n,"garde, protection",nom,klatak + -il (instrumental),enrichissement dérivationnel (contrainte 7)
pralumil,n,"portage, charge",nom,pralum + -il (instrumental),enrichissement dérivationnel (contrainte 7)
stiramil,n,"écrit, texte",nom,stiram + -il (instrumental),enrichissement dérivationnel (contrainte 7)
trimaxar,n,vainqueur,nom,trimax + -ar (agentif),enrichissement dérivationnel (contrainte 7)
kranikut,n,achat,nom,kranik + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
krasumut,n,"récit, histoire",nom,krasum + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
ktisut,n,"mort, victime",nom,ktis + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
ktisil,n,arme à tuer,nom,ktis + -il (instrumental),enrichissement dérivationnel (contrainte 7)
primalut,n,moment de joie,nom,primal + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
krastut,n,"butin, vol",nom,krast + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
kruntil,n,champ de bataille,nom,krunt + -il (instrumental),enrichissement dérivationnel (contrainte 7)
klirutut,n,"charge, fardeau",nom,klirut + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
stipunil,n,"classe, salle d'école",nom,stipun + -il (instrumental),enrichissement dérivationnel (contrainte 7)
tikumil,n,"abaque, calculatrice",nom,tikum + -il (instrumental),enrichissement dérivationnel (contrainte 7)
kratunas,n,"labeur, travail acharné",nom,kratun + -as (abstrait),enrichissement dérivationnel (contrainte 7)
pralimar,n,"donateur, généreux",nom,pralim + -ar (agentif),enrichissement dérivationnel (contrainte 7)
klimaxar,n,"amuseur, comédien",nom,klimax + -ar (agentif),enrichissement dérivationnel (contrainte 7)
klimaxut,n,"divertissement, spectacle",nom,klimax + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
prulnikut,n,"sujet captivant, intérêt",nom,prulnik + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
staliril,n,piste de danse,nom,stalir + -il (instrumental),enrichissement dérivationnel (contrainte 7)
krutaxar,n,destructeur,nom,krutax + -ar (agentif),enrichissement dérivationnel (contrainte 7)
sparular,n,"découvreur, explorateur",nom,sparul + -ar (agentif),enrichissement dérivationnel (contrainte 7)
trikamut,n,"garantie, assurance",nom,trikam + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
praxular,n,"celui qui risque, aventurier",nom,praxul + -ar (agentif),enrichissement dérivationnel (contrainte 7)
kranitil,n,"l'instrument d'appel, la cloche",nom,kranit + -il (instrumental),enrichissement dérivationnel (contrainte 7)
spilamil,n,le lieu de visite,nom,spilam + -il (instrumental),enrichissement dérivationnel (contrainte 7)
stikalpas,n,"l'attaque, l'assaut",nom,stikalp + -as (abstrait),enrichissement dérivationnel (contrainte 7)
klirpulas,n,la répétition,nom,klirpul + -as (abstrait),enrichissement dérivationnel (contrainte 7)
klirapas,n,l'invitation,nom,klirap + -as (abstrait),enrichissement dérivationnel (contrainte 7)
trikaxas,n,la criminalité,nom,trikax + -as (abstrait),enrichissement dérivationnel (contrainte 7)
spirakas,n,l'action de fumer,nom,spirak + -as (abstrait),enrichissement dérivationnel (contrainte 7)
praximas,n,"la discussion, le débat",nom,praxim + -as (abstrait),enrichissement dérivationnel (contrainte 7)
kartulil,n,"le carnet, le support d'écriture",nom,kartul + -il (instrumental),enrichissement dérivationnel (contrainte 7)
xamulas,n,"le meurtre, la tuerie",nom,xamul + -as (abstrait),enrichissement dérivationnel (contrainte 7)
turlixar,n,celui qui blesse,nom,turlix + -ar (agentif),enrichissement dérivationnel (contrainte 7)
kramunas,n,"la direction, le commandement",nom,kramun + -as (abstrait),enrichissement dérivationnel (contrainte 7)
praxumar,n,celui qui mérite,nom,praxum + -ar (agentif),enrichissement dérivationnel (contrainte 7)
prulamar,n,celui qui exemplifie,nom,prulam + -ar (agentif),enrichissement dérivationnel (contrainte 7)
kirpalas,n,"la noblesse, la principauté",nom,kirpal + -as (abstrait),enrichissement dérivationnel (contrainte 7)
praxutar,n,"celui qui plante, planteur",nom,praxut + -ar (agentif),enrichissement dérivationnel (contrainte 7)
praxutut,n,"ce qui est planté, plantation",nom,praxut + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
tramisar,n,celui qui contraint,nom,tramis + -ar (agentif),enrichissement dérivationnel (contrainte 7)
tramisas,n,"la contrainte, l'obligation",nom,tramis + -as (abstrait),enrichissement dérivationnel (contrainte 7)
kilpumar,n,fabricant de boîtes,nom,kilpum + -ar (agentif),enrichissement dérivationnel (contrainte 7)
spatunar,n,celui qui dîne,nom,spatun + -ar (agentif),enrichissement dérivationnel (contrainte 7)
spatunil,n,"le lieu de repas, la table",nom,spatun + -il (instrumental),enrichissement dérivationnel (contrainte 7)
tripaxar,n,celui qui couvre,nom,tripax + -ar (agentif),enrichissement dérivationnel (contrainte 7)
tripaxut,n,"la couverture, le recouvrement",nom,tripax + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
kartumar,n,celui qui acquiert,nom,kartum + -ar (agentif),enrichissement dérivationnel (contrainte 7)
klimisar,n,"plaisantin, blagueur",nom,klimis + -ar (agentif),enrichissement dérivationnel (contrainte 7)
klimisas,n,"humour, plaisanterie",nom,klimis + -as (abstrait),enrichissement dérivationnel (contrainte 7)
praxukas,n,"ensemble des coutumes, tradition",nom,praxuk + -as (abstrait),enrichissement dérivationnel (contrainte 7)
pramikut,n,"compagnie, fait d'être ensemble",nom,pramik + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
kilpaxil,n,"cuisine, lieu de cuisine",nom,kilpax + -il (instrumental),enrichissement dérivationnel (contrainte 7)
tramukas,n,"art du vol, kleptomanie",nom,tramuk + -as (abstrait),enrichissement dérivationnel (contrainte 7)
stipakut,n,"observation, remarque notée",nom,stipak + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
spalumar,n,celui qui épuise,nom,spalum + -ar (agentif),enrichissement dérivationnel (contrainte 7)
spalumas,n,"fatigue, épuisement",nom,spalum + -as (abstrait),enrichissement dérivationnel (contrainte 7)
tritaxut,n,"tentative, essai",nom,tritax + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
prisular,n,"compétent, expert",nom,prisul + -ar (agentif),enrichissement dérivationnel (contrainte 7)
stinalas,n,"travail intensif, labeur",nom,stinal + -as (abstrait),enrichissement dérivationnel (contrainte 7)
trimakut,n,"ravissement, transport de joie",nom,trimak + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
stulaxut,n,"arrangement, ordre établi",nom,stulax + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
klirpunar,n,"évaluateur, appréciateur",nom,klirpun + -ar (agentif),enrichissement dérivationnel (contrainte 7)
klirpunut,n,"appréciation, évaluation",nom,klirpun + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
praltumil,n,lieu de lavage,nom,praltum + -il (instrumental),enrichissement dérivationnel (contrainte 7)
stirtupar,n,"réalisateur, accomplisseur",nom,stirtup + -ar (agentif),enrichissement dérivationnel (contrainte 7)
krimulut,n,"prévision, anticipation",nom,krimul + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
stiranas,n,"discipline de recherche, domaine d'enquête",nom,stiran + -as (abstrait),enrichissement dérivationnel (contrainte 7)
klipakas,n,"l'art du bain, la baignade",nom,klipak + -as (abstrait),enrichissement dérivationnel (contrainte 7)
hiltupil,n,instrument de soin,nom,hiltup + -il (instrumental),enrichissement dérivationnel (contrainte 7)
hiltupas,n,"la médecine, l'art du soin",nom,hiltup + -as (abstrait),enrichissement dérivationnel (contrainte 7)
tramulil,n,"école, lieu d'étude",nom,tramul + -il (instrumental),enrichissement dérivationnel (contrainte 7)
tramulut,n,"connaissance acquise, savoir",nom,tramul + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
stalpunar,n,"celui qui propose, conseiller",nom,stalpun + -ar (agentif),enrichissement dérivationnel (contrainte 7)
klimukar,n,"celui qui emporte, ravisseur",nom,klimuk + -ar (agentif),enrichissement dérivationnel (contrainte 7)
kalmakil,n,outil de réparation,nom,kalmak + -il (instrumental),enrichissement dérivationnel (contrainte 7)
kalmakut,n,"réparation, restauration",nom,kalmak + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
kaltimil,n,instrument de contrôle,nom,kaltim + -il (instrumental),enrichissement dérivationnel (contrainte 7)
kaltimas,n,"inspection, contrôle",nom,kaltim + -as (abstrait),enrichissement dérivationnel (contrainte 7)
spirukut,n,"moquerie, raillerie",nom,spiruk + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
pirtalus,v.stat,"être ennuyé, s'ennuyer",verbe statif,pirtal + -us (désidératif),enrichissement dérivationnel (contrainte 7)
primitar,n,celui qui sonne,nom,primit + -ar (agentif),enrichissement dérivationnel (contrainte 7)
primitil,n,"cloche, instrument sonore",nom,primit + -il (instrumental),enrichissement dérivationnel (contrainte 7)
spinakar,n,celui qui respecte,nom,spinak + -ar (agentif),enrichissement dérivationnel (contrainte 7)
krultumar,n,"celui qui force, tyran",nom,krultum + -ar (agentif),enrichissement dérivationnel (contrainte 7)
krultumut,n,"contrainte, force",nom,krultum + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
spilatar,n,fossoyeur,nom,spilat + -ar (agentif),enrichissement dérivationnel (contrainte 7)
klirpusut,n,"conjecture, devinette",nom,klirpus + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
stirpaxar,n,celui qui sépare,nom,stirpax + -ar (agentif),enrichissement dérivationnel (contrainte 7)
klurpatut,n,"chasse, poursuite",nom,klurpat + -ut (résultatif),enrichissement dérivationnel (contrainte 7)
